scoring,best_score,best_params,running_time
precision,0.6617454101318594,"{'logisticregression__C': 0.0001, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'saga'}",46
f1,0.39437039517474193,"{'logisticregression__C': 10.0, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'saga'}",41
accuracy,0.6959959684054633,"{'logisticregression__C': 1.0, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",38
