scoring,best_score,best_params,running_time
precision,0.5192964148999206,"{'optimizer__learning_rate': 0.0001, 'model__neurons': 32, 'model__dropout_rate': 0.5, 'epochs': 100, 'batch_size': 64}",1406
f1,0.4421599613157975,"{'optimizer__learning_rate': 0.0001, 'model__neurons': 128, 'model__dropout_rate': 0.2, 'epochs': 10, 'batch_size': 64}",2222
