p0_rank,p1_rank,p0_odds,p1_odds,tourney_date,winner
6.0,26.0,1.08,8.0,2012-05-06,0.0
25.0,42.0,1.9,1.9,2021-11-01,0.0
28.0,46.0,1.22,4.0,2006-03-20,0.0
8.0,22.0,1.4,2.75,2009-10-05,0.0
78.0,103.0,1.22,4.0,2019-05-20,0.0
1.0,34.0,1.01,26.0,2013-06-24,0.0
32.0,182.0,1.11,6.5,2016-10-10,0.0
33.0,67.0,1.12,5.5,2006-08-28,0.0
21.0,90.0,1.07,9.0,2012-10-21,0.0
27.0,60.0,1.2,4.33,2010-05-09,0.0
35.0,39.0,1.36,3.2,2022-01-17,1.0
96.0,130.0,2.37,1.53,2012-10-15,1.0
17.0,178.0,1.8,2.0,2021-10-04,0.0
25.0,43.0,4.0,1.22,2014-01-13,0.0
3.0,72.0,1.08,9.0,2018-08-27,0.0
62.0,76.0,1.5,2.62,2019-09-16,1.0
103.0,141.0,1.44,2.62,2019-07-15,1.0
101.0,371.0,1.28,3.5,2008-04-14,0.0
8.0,25.0,1.61,2.25,2014-05-26,0.0
212.0,242.0,1.3,3.4,2017-09-18,1.0
57.0,141.0,1.36,3.25,2012-07-23,0.0
29.0,165.0,3.0,1.4,2022-10-10,1.0
50.0,121.0,1.66,2.1,2007-07-16,0.0
34.0,392.0,1.4,2.75,2018-08-20,0.0
1.0,34.0,1.14,5.5,2020-08-24,0.0
45.0,52.0,1.16,5.0,2015-08-31,1.0
3.0,30.0,1.08,7.0,2006-06-26,1.0
39.0,56.0,1.18,4.5,2013-10-21,0.0
3.0,6.0,1.9,1.9,2013-05-05,1.0
40.0,44.0,5.0,1.16,2012-10-29,1.0
56.0,207.0,1.44,2.75,2017-01-16,0.0
57.0,162.0,1.25,3.75,2006-07-17,1.0
61.0,114.0,1.44,2.75,2014-02-24,0.0
60.0,164.0,1.12,5.5,2011-07-04,0.0
5.0,10.0,1.4,3.0,2015-01-19,0.0
28.0,62.0,2.2,1.66,2022-10-17,0.0
100.0,118.0,1.44,2.62,2006-05-01,0.0
76.0,89.0,1.53,2.37,2008-02-18,0.0
13.0,19.0,1.66,2.1,2017-02-13,0.0
6.0,117.0,1.1,7.0,2017-01-02,1.0
20.0,89.0,1.4,2.75,2017-05-15,0.0
56.0,407.0,1.22,4.0,2018-03-19,1.0
4.0,102.0,1.05,8.5,2006-10-09,0.0
118.0,233.0,2.87,1.38,2012-07-09,1.0
18.0,224.0,1.3,3.5,2016-09-26,0.0
31.0,302.0,1.57,2.37,2017-06-12,0.0
98.0,111.0,2.5,1.5,2012-09-17,0.0
10.0,39.0,1.5,2.62,2022-05-02,0.0
31.0,48.0,1.83,1.83,2019-01-07,0.0
47.0,92.0,1.4,2.75,2014-08-25,1.0
1.0,39.0,1.03,15.0,2013-10-28,0.0
49.0,304.0,1.16,5.0,2015-10-26,0.0
21.0,32.0,1.53,2.37,2011-08-14,0.0
137.0,417.0,1.36,3.0,2010-07-05,1.0
19.0,22.0,3.25,1.33,2006-01-16,0.0
13.0,32.0,1.14,5.5,2017-05-15,0.0
29.0,30.0,2.5,1.5,2010-08-22,1.0
81.0,141.0,2.0,1.72,2018-12-31,0.0
38.0,212.0,1.44,2.62,2019-06-17,0.0
5.0,78.0,1.11,6.5,2011-08-29,0.0
55.0,78.0,1.5,2.62,2021-10-18,0.0
16.0,57.0,1.22,4.0,2013-04-29,0.0
35.0,121.0,1.4,2.75,2013-06-24,1.0
7.0,14.0,1.36,3.0,2015-03-25,0.0
19.0,41.0,3.2,1.36,2022-06-13,0.0
