p0_rank,p1_rank,p0_odds,p1_odds,tourney_date,winner
28.0,42.0,1.72,2.0,2011-05-08,0.0
63.0,93.0,1.61,2.2,2009-05-25,0.0
2.0,31.0,1.44,2.75,2022-10-31,1.0
57.0,75.0,2.0,1.72,2013-03-20,0.0
13.0,57.0,1.18,4.5,2017-04-17,0.0
59.0,95.0,2.62,1.44,2011-08-21,1.0
16.0,98.0,1.44,2.62,2009-10-05,1.0
55.0,59.0,2.5,1.5,2010-03-11,0.0
57.0,76.0,1.5,2.5,2020-01-13,0.0
68.0,177.0,1.5,2.5,2012-12-31,1.0
63.0,129.0,1.25,3.75,2010-06-21,0.0
94.0,97.0,1.83,1.83,2018-04-23,0.0
48.0,77.0,1.5,2.5,2015-03-25,1.0
7.0,52.0,1.05,11.0,2013-10-28,0.0
5.0,173.0,1.08,7.0,2008-06-15,0.0
66.0,93.0,1.33,3.25,2013-06-10,0.0
100.0,117.0,1.44,2.62,2011-01-31,0.0
85.0,140.0,3.5,1.28,2009-06-22,1.0
31.0,93.0,1.19,4.33,2008-02-11,0.0
58.0,73.0,1.72,2.0,2010-06-07,0.0
26.0,115.0,1.25,3.75,2017-02-20,0.0
6.0,50.0,1.08,7.0,2006-03-20,0.0
42.0,103.0,1.1,7.0,2012-02-13,0.0
5.0,158.0,1.1,6.5,2011-06-20,1.0
1.0,139.0,1.0,17.0,2006-05-29,0.0
23.0,89.0,1.11,6.5,2014-03-19,0.0
2.0,10.0,1.53,2.5,2008-03-27,0.0
144.0,203.0,1.83,1.83,2016-08-29,0.0
36.0,122.0,1.72,2.0,2014-04-28,1.0
4.0,10.0,1.3,3.5,2017-11-13,0.0
107.0,255.0,1.8,2.0,2021-05-24,1.0
95.0,170.0,1.72,2.0,2019-02-25,0.0
114.0,163.0,1.4,2.75,2012-07-09,0.0
42.0,472.0,1.3,3.4,2019-06-24,0.0
18.0,56.0,1.44,2.75,2022-10-24,0.0
60.0,686.0,1.2,4.33,2010-09-27,0.0
66.0,68.0,2.5,1.5,2011-08-08,1.0
44.0,101.0,1.44,2.62,2013-05-19,1.0
139.0,345.0,1.57,2.37,2018-08-27,0.0
18.0,44.0,2.37,1.53,2012-09-17,1.0
18.0,335.0,1.06,8.5,2014-05-26,1.0
31.0,122.0,1.12,6.0,2022-03-21,0.0
2.0,126.0,1.01,15.0,2008-01-14,0.0
52.0,100.0,1.5,2.5,2012-04-09,0.0
34.0,64.0,1.61,2.2,2016-03-21,1.0
18.0,38.0,1.72,2.0,2014-01-13,0.0
5.0,64.0,1.16,5.0,2022-10-31,0.0
6.0,8.0,1.44,2.75,2011-11-20,0.0
3.0,16.0,1.11,6.5,2017-08-07,0.0
3.0,17.0,1.01,15.0,2011-06-20,0.0
1.0,7.0,1.16,5.0,2012-11-05,0.0
34.0,106.0,1.36,3.2,2019-07-22,0.0
46.0,179.0,1.5,2.5,2018-02-26,0.0
26.0,36.0,1.5,2.5,2018-01-08,1.0
10.0,120.0,1.08,8.0,2022-01-17,0.0
18.0,139.0,1.22,4.0,2014-06-09,0.0
5.0,53.0,1.18,4.5,2014-10-20,0.0
30.0,157.0,1.4,2.75,2014-01-13,0.0
89.0,97.0,1.66,2.2,2019-03-04,0.0
18.0,87.0,1.61,2.2,2006-06-12,0.0
54.0,459.0,1.12,5.5,2007-07-29,0.0
26.0,55.0,1.83,1.83,2006-01-09,0.0
18.0,107.0,1.36,3.0,2015-01-19,1.0
76.0,80.0,1.22,4.0,2010-03-24,0.0
1.0,361.0,1.07,9.0,2022-05-09,0.0
56.0,109.0,1.57,2.25,2011-08-14,0.0
2.0,75.0,1.0,21.0,2010-01-18,0.0
69.0,79.0,1.9,1.9,2022-02-14,0.0
46.0,155.0,1.28,3.75,2021-07-19,1.0
15.0,129.0,1.28,3.75,2018-02-05,1.0
30.0,66.0,2.75,1.44,2018-07-02,1.0
28.0,91.0,1.53,2.37,2009-08-02,1.0
64.0,103.0,1.16,4.5,2007-06-25,0.0
33.0,55.0,1.61,2.2,2011-10-24,0.0
25.0,79.0,1.44,2.75,2022-05-16,1.0
57.0,82.0,1.57,2.25,2008-08-17,1.0
62.0,126.0,1.61,2.2,2006-10-02,1.0
71.0,132.0,2.1,1.66,2009-02-09,1.0
60.0,68.0,1.25,3.75,2006-07-10,0.0
37.0,41.0,2.0,1.72,2006-07-17,0.0
43.0,154.0,1.57,2.25,2019-08-19,1.0
41.0,43.0,1.36,3.0,2006-10-30,0.0
10.0,124.0,1.28,3.75,2020-01-20,0.0
33.0,78.0,1.44,2.62,2008-05-11,1.0
74.0,95.0,1.72,2.0,2013-04-22,0.0
83.0,320.0,1.53,2.37,2021-02-01,0.0
46.0,49.0,2.25,1.57,2007-03-05,0.0
87.0,209.0,1.33,3.25,2019-07-15,0.0
26.0,76.0,1.04,13.0,2012-05-27,0.0
15.0,179.0,1.05,11.0,2012-10-07,0.0
7.0,44.0,1.22,4.0,2012-02-13,0.0
5.0,23.0,1.61,2.2,2006-03-20,1.0
25.0,99.0,1.11,6.0,2007-02-19,0.0
12.0,68.0,1.25,3.75,2011-09-26,0.0
62.0,64.0,3.5,1.28,2013-05-19,1.0
83.0,135.0,2.1,1.72,2021-07-26,1.0
6.0,52.0,1.8,2.0,2019-07-29,1.0
28.0,121.0,1.3,3.5,2022-05-02,1.0
53.0,58.0,1.66,2.1,2008-05-25,0.0
49.0,209.0,1.61,2.2,2011-01-10,0.0
43.0,84.0,1.61,2.2,2017-02-06,0.0
32.0,89.0,1.12,5.5,2008-07-28,1.0
1.0,8.0,1.11,6.5,2015-02-23,0.0
8.0,121.0,1.2,4.33,2012-10-29,1.0
1.0,53.0,1.06,10.0,2019-08-12,0.0
30.0,169.0,1.2,4.5,2021-07-19,0.0
23.0,105.0,1.16,4.5,2006-06-26,1.0
4.0,65.0,1.16,5.0,2006-01-16,0.0
51.0,77.0,1.4,2.75,2018-02-19,0.0
1.0,5.0,1.16,5.0,2012-05-13,0.0
12.0,22.0,1.61,2.2,2007-02-19,1.0
19.0,54.0,1.4,2.75,2013-05-27,0.0
4.0,38.0,1.08,8.0,2015-03-12,0.0
1.0,8.0,1.14,5.5,2007-08-13,0.0
20.0,121.0,1.07,9.0,2022-10-03,0.0
13.0,266.0,1.06,10.0,2016-10-17,1.0
66.0,89.0,1.44,2.62,2011-02-21,0.0
13.0,63.0,1.44,2.62,2012-03-08,0.0
14.0,27.0,1.22,4.0,2013-04-29,0.0
5.0,44.0,1.12,6.0,2020-01-20,0.0
22.0,134.0,1.2,4.33,2017-07-24,0.0
23.0,99.0,1.28,3.5,2018-02-26,0.0
23.0,39.0,1.28,3.5,2007-05-07,0.0
34.0,51.0,2.2,1.61,2014-10-13,1.0
54.0,57.0,1.36,3.0,2009-02-02,1.0
1.0,36.0,1.02,12.0,2006-08-07,0.0
12.0,58.0,1.38,2.87,2007-10-22,0.0
47.0,101.0,1.57,2.25,2017-01-02,0.0
122.0,359.0,1.5,2.5,2006-08-28,0.0
15.0,64.0,1.5,2.5,2013-04-22,1.0
36.0,100.0,1.72,2.0,2009-07-19,1.0
37.0,73.0,1.66,2.1,2010-07-19,1.0
44.0,51.0,2.0,1.72,2006-09-11,1.0
5.0,67.0,1.22,4.0,2013-03-07,0.0
12.0,49.0,1.66,2.2,2015-08-10,1.0
25.0,52.0,1.44,2.62,2010-01-11,1.0
66.0,67.0,3.4,1.3,2009-02-16,1.0
43.0,57.0,1.72,2.0,2018-08-20,1.0
1.0,5.0,1.8,2.0,2019-05-06,0.0
25.0,33.0,1.57,2.25,2012-10-01,0.0
17.0,43.0,1.11,6.5,2017-10-30,0.0
31.0,171.0,1.44,2.62,2018-09-24,1.0
93.0,491.0,1.36,3.0,2012-06-25,0.0
15.0,51.0,1.4,2.75,2017-03-20,1.0
10.0,29.0,1.28,3.75,2011-09-19,0.0
77.0,87.0,2.37,1.57,2021-06-21,0.0
21.0,24.0,2.2,1.61,2013-10-21,0.0
2.0,9.0,1.06,10.0,2013-11-04,0.0
2.0,28.0,1.2,4.5,2014-10-20,0.0
38.0,214.0,1.39,2.75,2007-07-09,1.0
146.0,172.0,1.57,2.25,2009-04-20,1.0
8.0,52.0,1.38,2.87,2011-04-18,0.0
38.0,84.0,1.12,5.5,2010-08-30,0.0
82.0,97.0,1.3,3.4,2015-01-19,0.0
1.0,4.0,1.72,2.1,2009-02-09,1.0
17.0,37.0,1.72,2.0,2019-05-06,1.0
13.0,109.0,1.07,7.5,2007-10-01,0.0
15.0,67.0,1.22,4.0,2016-08-22,0.0
9.0,10.0,1.5,2.5,2012-10-29,0.0
2.0,116.0,1.0,17.0,2006-05-29,0.0
32.0,126.0,1.57,2.25,2008-08-25,1.0
65.0,84.0,3.75,1.25,2008-04-28,1.0
68.0,69.0,1.57,2.37,2021-06-21,0.0
23.0,65.0,1.5,2.62,2022-08-22,1.0
10.0,132.0,1.28,3.5,2008-05-11,0.0
33.0,62.0,1.61,2.2,2018-10-08,0.0
32.0,55.0,1.57,2.25,2007-10-01,0.0
35.0,99.0,1.25,4.0,2021-11-01,0.0
91.0,110.0,1.72,2.0,2012-10-21,1.0
91.0,105.0,2.25,1.57,2009-02-23,1.0
11.0,93.0,1.12,6.0,2012-02-13,0.0
15.0,61.0,1.22,4.0,2014-07-07,0.0
2.0,62.0,1.01,15.0,2010-01-04,0.0
21.0,90.0,1.2,4.5,2022-01-03,0.0
45.0,62.0,1.61,2.2,2009-03-25,1.0
74.0,101.0,5.5,1.14,2012-06-25,1.0
10.0,33.0,1.25,3.75,2015-01-05,0.0
7.0,19.0,1.3,3.5,2022-04-18,1.0
7.0,43.0,1.44,2.62,2010-10-10,0.0
85.0,110.0,1.36,3.2,2021-03-22,1.0
73.0,162.0,2.0,1.72,2009-02-02,1.0
20.0,67.0,1.36,3.0,2007-07-30,1.0
66.0,99.0,1.36,3.0,2013-02-11,0.0
31.0,33.0,1.66,2.2,2019-07-01,1.0
72.0,113.0,2.3,1.61,2022-02-21,0.0
45.0,114.0,1.25,3.5,2006-06-12,1.0
14.0,16.0,1.38,3.0,2011-10-17,0.0
7.0,45.0,1.2,4.5,2014-08-25,0.0
11.0,44.0,1.36,3.0,2013-07-29,1.0
72.0,103.0,6.0,1.11,2009-02-16,1.0
28.0,134.0,1.44,2.62,2012-08-12,1.0
70.0,90.0,2.25,1.57,2006-08-14,1.0
65.0,126.0,1.44,2.62,2014-09-22,1.0
4.0,5.0,2.25,1.61,2017-01-02,1.0
57.0,89.0,2.2,1.61,2010-05-03,0.0
9.0,165.0,1.3,3.5,2022-10-10,0.0
39.0,127.0,2.75,1.4,2007-05-28,0.0
4.0,229.0,1.1,6.5,2007-08-19,0.0
52.0,59.0,1.5,2.62,2022-06-20,0.0
8.0,34.0,1.72,2.1,2022-07-11,1.0
4.0,133.0,1.03,11.0,2008-07-07,0.0
126.0,146.0,1.83,1.83,2007-08-27,1.0
9.0,52.0,1.25,4.55,2016-05-09,1.0
36.0,191.0,1.1,6.5,2011-02-21,0.0
210.0,316.0,1.72,2.0,2011-01-31,1.0
10.0,88.0,1.05,9.0,2010-05-24,0.0
3.0,47.0,1.28,3.75,2021-02-08,0.0
77.0,79.0,2.0,1.72,2018-03-19,0.0
3.0,14.0,1.18,4.5,2015-03-12,0.0
66.0,297.0,1.72,2.1,2007-07-16,1.0
16.0,87.0,1.04,13.0,2013-01-14,0.0
22.0,42.0,1.14,5.0,2008-10-20,1.0
62.0,101.0,1.28,3.75,2022-05-16,0.0
61.0,95.0,1.4,2.75,2015-06-21,0.0
3.0,127.0,1.01,13.0,2009-01-19,0.0
65.0,711.0,1.38,2.87,2007-05-20,0.0
19.0,60.0,1.14,5.5,2017-10-23,0.0
11.0,85.0,1.05,11.0,2014-09-22,0.0
34.0,106.0,1.53,2.37,2017-03-06,1.0
3.0,21.0,1.28,3.5,2010-08-30,0.0
67.0,97.0,2.1,1.72,2022-08-22,0.0
15.0,31.0,1.61,2.3,2022-05-09,0.0
45.0,84.0,2.62,1.5,2018-01-08,1.0
33.0,153.0,1.28,3.5,2020-10-26,0.0
49.0,115.0,1.44,2.62,2015-07-27,0.0
68.0,361.0,1.12,6.0,2015-07-27,0.0
102.0,153.0,1.72,2.0,2006-09-25,0.0
16.0,56.0,2.2,1.61,2019-07-22,0.0
25.0,42.0,2.25,1.57,2015-05-17,1.0
87.0,146.0,1.57,2.25,2008-04-28,0.0
6.0,202.0,1.1,7.0,2012-06-25,0.0
15.0,122.0,1.4,2.75,2014-04-28,0.0
56.0,184.0,1.57,2.25,2019-07-15,0.0
26.0,52.0,1.3,3.39,2006-02-20,1.0
1.0,2.0,1.66,2.2,2017-10-09,1.0
21.0,53.0,1.2,4.5,2018-05-14,0.0
66.0,82.0,1.57,2.37,2020-08-31,1.0
2.0,26.0,1.16,4.5,2009-10-11,0.0
43.0,86.0,2.2,1.61,2016-10-31,0.0
319.0,352.0,1.8,1.9,2010-05-03,0.0
1.0,6.0,1.12,6.0,2016-05-02,0.0
29.0,54.0,1.61,2.2,2011-11-07,1.0
11.0,60.0,1.33,3.4,2017-06-19,0.0
2.0,123.0,1.0,17.0,2007-08-27,0.0
35.0,49.0,1.57,2.25,2006-05-29,0.0
12.0,18.0,1.53,2.37,2009-08-16,1.0
41.0,181.0,1.05,9.0,2008-06-23,0.0
38.0,45.0,3.4,1.3,2013-03-07,1.0
22.0,69.0,1.33,3.4,2021-11-01,0.0
49.0,281.0,1.11,6.0,2008-05-25,0.0
27.0,44.0,1.3,3.5,2021-05-03,1.0
82.0,99.0,1.3,3.4,2013-01-14,0.0
58.0,132.0,2.1,1.66,2015-01-19,0.0
29.0,57.0,1.5,2.5,2010-01-04,0.0
12.0,65.0,1.03,15.0,2015-06-29,0.0
14.0,100.0,1.07,9.0,2020-08-31,0.0
5.0,69.0,1.4,3.0,2012-10-29,0.0
55.0,58.0,2.1,1.66,2020-01-06,1.0
5.0,41.0,1.36,3.0,2015-08-10,1.0
21.0,60.0,1.36,3.0,2007-08-27,1.0
10.0,116.0,1.01,15.0,2006-08-28,0.0
22.0,142.0,3.25,1.33,2016-08-29,1.0
89.0,187.0,1.83,1.83,2012-10-15,0.0
52.0,64.0,1.83,1.83,2006-08-28,0.0
33.0,40.0,2.5,1.53,2015-02-02,0.0
16.0,43.0,1.57,2.25,2006-03-20,0.0
49.0,89.0,1.4,3.0,2021-03-15,0.0
23.0,71.0,1.57,2.25,2017-08-14,0.0
1.0,8.0,1.28,3.75,2017-10-02,0.0
29.0,97.0,2.0,1.72,2006-07-10,1.0
4.0,50.0,1.07,9.0,2020-01-20,0.0
7.0,311.0,1.28,3.5,2008-03-27,1.0
48.0,285.0,1.28,3.5,2014-07-07,0.0
14.0,42.0,1.25,4.0,2020-02-03,0.0
38.0,60.0,1.4,2.75,2020-02-17,1.0
31.0,90.0,2.25,1.57,2010-06-07,1.0
35.0,109.0,1.16,5.0,2013-07-08,0.0
43.0,130.0,3.0,1.4,2021-08-02,1.0
59.0,92.0,1.8,2.0,2019-07-01,0.0
57.0,84.0,1.36,3.2,2021-06-14,0.0
4.0,5.0,1.44,2.75,2012-06-25,0.0
69.0,76.0,1.44,2.62,2013-04-29,0.0
12.0,25.0,1.2,4.5,2016-08-29,0.0
16.0,57.0,1.14,5.0,2011-05-22,0.0
32.0,44.0,1.5,2.5,2015-07-27,0.0
59.0,163.0,1.16,5.0,2021-03-15,0.0
64.0,236.0,1.61,2.2,2016-05-16,0.0
15.0,20.0,1.36,3.2,2019-01-14,0.0
50.0,84.0,1.83,1.83,2007-03-19,1.0
120.0,123.0,1.8,1.9,2008-03-13,1.0
4.0,87.0,1.16,4.5,2007-07-30,1.0
22.0,27.0,1.83,1.83,2010-08-30,1.0
71.0,229.0,1.4,2.75,2007-08-19,1.0
38.0,169.0,1.4,2.75,2010-01-18,0.0
46.0,68.0,1.4,2.75,2018-03-19,0.0
82.0,108.0,3.4,1.3,2015-07-27,0.0
12.0,22.0,1.14,5.0,2010-02-22,0.0
36.0,107.0,1.61,2.2,2017-01-02,1.0
68.0,129.0,1.5,2.5,2014-02-24,0.0
89.0,104.0,2.2,1.61,2016-02-15,0.0
62.0,64.0,1.44,2.62,2015-09-28,0.0
19.0,88.0,1.53,2.5,2021-05-17,1.0
5.0,96.0,1.05,11.0,2012-02-27,0.0
20.0,135.0,1.36,3.0,2008-02-11,1.0
8.0,15.0,1.57,2.37,2018-10-08,0.0
16.0,20.0,1.4,3.0,2014-08-25,0.0
64.0,119.0,2.75,1.4,2014-06-23,0.0
1.0,31.0,1.33,3.25,2010-06-07,1.0
29.0,410.0,2.37,1.57,2021-03-08,1.0
36.0,60.0,1.44,2.75,2022-10-17,0.0
41.0,406.0,1.2,4.33,2020-02-17,1.0
20.0,69.0,1.22,4.0,2011-01-02,0.0
40.0,77.0,1.18,4.5,2016-10-17,1.0
25.0,118.0,1.61,2.2,2012-02-20,1.0
24.0,358.0,1.02,19.0,2011-10-09,0.0
31.0,88.0,1.53,2.37,2007-03-05,0.0
23.0,309.0,1.12,6.0,2021-06-14,1.0
3.0,95.0,1.02,12.0,2007-08-27,0.0
34.0,235.0,1.57,2.25,2009-07-06,0.0
8.0,47.0,1.72,2.0,2011-08-14,0.0
15.0,200.0,1.11,6.5,2019-01-14,0.0
12.0,118.0,1.2,4.5,2020-09-28,0.0
86.0,541.0,1.071,7.5,2009-10-11,0.0
19.0,94.0,1.04,10.0,2006-08-28,0.0
21.0,138.0,1.14,5.5,2015-02-16,0.0
20.0,117.0,1.5,2.5,2015-10-19,1.0
78.0,91.0,1.66,2.1,2018-02-05,1.0
30.0,94.0,1.57,2.25,2015-01-19,0.0
5.0,6.0,1.61,2.25,2011-07-11,0.0
1.0,10.0,1.14,5.5,2017-01-02,0.0
11.0,93.0,2.0,1.8,2018-07-02,1.0
3.0,189.0,1.02,17.0,2019-01-14,0.0
17.0,19.0,2.0,1.72,2008-10-26,0.0
51.0,73.0,2.87,1.38,2012-02-20,0.0
15.0,85.0,1.3,3.4,2015-01-19,0.0
7.0,18.0,1.25,4.0,2022-10-31,1.0
24.0,29.0,1.44,2.62,2007-10-22,1.0
20.0,44.0,3.0,1.36,2008-06-09,1.0
27.0,87.0,1.36,3.0,2008-05-11,0.0
24.0,73.0,1.9,1.8,2009-08-02,1.0
21.0,67.0,1.57,2.25,2020-02-03,1.0
13.0,89.0,1.19,4.33,2007-07-16,0.0
4.0,49.0,1.36,3.0,2006-06-26,0.0
11.0,151.0,1.11,6.5,2013-02-11,0.0
43.0,84.0,1.53,2.37,2020-01-13,1.0
13.0,67.0,1.22,4.33,2016-04-11,1.0
1.0,103.0,1.02,19.0,2014-04-21,0.0
37.0,70.0,1.5,2.5,2014-03-19,0.0
51.0,83.0,1.44,2.75,2022-07-25,0.0
2.0,20.0,1.14,5.5,2018-01-15,0.0
11.0,44.0,1.22,4.0,2016-08-15,0.0
1.0,6.0,1.44,2.75,2015-01-19,0.0
46.0,68.0,3.0,1.36,2013-02-11,0.0
91.0,398.0,1.25,3.5,2006-09-25,1.0
44.0,46.0,1.33,3.25,2007-08-27,0.0
42.0,94.0,1.36,3.0,2014-05-26,0.0
7.0,10.0,2.5,1.5,2016-05-02,1.0
2.0,11.0,1.1,7.0,2016-10-31,0.0
74.0,83.0,1.57,2.25,2011-07-31,0.0
67.0,112.0,1.5,2.5,2016-05-16,0.0
6.0,45.0,1.14,5.5,2018-01-15,0.0
12.0,13.0,1.72,2.1,2007-10-28,1.0
7.0,35.0,1.14,5.0,2010-06-21,0.0
113.0,124.0,2.2,1.61,2010-08-30,1.0
55.0,59.0,2.25,1.57,2010-10-10,1.0
28.0,52.0,2.0,1.72,2016-10-24,0.0
43.0,80.0,1.61,2.2,2012-02-13,1.0
64.0,134.0,1.3,3.39,2007-05-28,1.0
31.0,44.0,1.5,2.62,2019-10-14,0.0
78.0,154.0,1.33,3.25,2015-02-16,1.0
1.0,4.0,1.44,2.75,2009-08-16,0.0
52.0,54.0,2.25,1.57,2010-07-12,1.0
10.0,86.0,1.28,3.75,2021-06-21,0.0
28.0,71.0,1.44,2.62,2018-01-08,0.0
53.0,63.0,1.36,3.2,2022-06-27,0.0
36.0,70.0,1.66,2.1,2015-07-20,0.0
39.0,64.0,1.72,2.0,2017-04-10,0.0
1.0,2.0,1.25,4.0,2007-11-12,0.0
76.0,104.0,2.1,1.72,2021-05-17,1.0
12.0,166.0,1.28,3.39,2006-06-26,1.0
77.0,116.0,1.57,2.25,2020-02-17,1.0
86.0,617.0,1.5,2.5,2018-04-09,0.0
7.0,71.0,1.2,4.5,2019-07-01,0.0
8.0,9.0,2.62,1.5,2018-11-12,0.0
20.0,123.0,1.28,3.75,2021-10-04,0.0
45.0,87.0,2.5,1.5,2013-08-26,1.0
2.0,98.0,1.08,7.0,2006-02-27,0.0
201.0,268.0,1.8,1.9,2006-07-17,0.0
73.0,219.0,1.22,4.0,2011-10-17,0.0
41.0,113.0,1.53,2.37,2011-08-21,1.0
2.0,22.0,1.03,15.0,2013-08-26,0.0
19.0,46.0,1.25,3.75,2007-05-14,0.0
48.0,190.0,1.57,2.25,2017-10-16,0.0
20.0,49.0,1.57,2.25,2016-08-22,1.0
5.0,58.0,1.22,4.33,2021-04-12,0.0
10.0,240.0,1.33,3.4,2013-06-16,1.0
38.0,48.0,1.28,3.75,2019-08-26,0.0
77.0,90.0,1.83,1.83,2019-07-15,0.0
159.0,182.0,1.83,1.83,2018-04-23,0.0
2.0,76.0,1.05,11.0,2019-02-25,0.0
16.0,40.0,1.4,2.75,2012-08-06,1.0
13.0,50.0,1.25,4.0,2019-10-28,0.0
9.0,122.0,1.16,5.0,2022-05-23,0.0
30.0,276.0,1.08,7.0,2009-08-31,1.0
42.0,461.0,1.28,3.75,2017-07-24,0.0
20.0,29.0,1.8,2.0,2015-06-29,0.0
26.0,40.0,2.62,1.5,2017-05-29,0.0
27.0,56.0,1.72,2.0,2018-10-15,0.0
91.0,129.0,4.5,1.2,2022-07-11,0.0
8.0,158.0,1.1,6.5,2011-03-10,0.0
27.0,28.0,1.9,1.8,2009-05-10,0.0
6.0,53.0,1.12,6.0,2015-01-19,0.0
19.0,191.0,1.4,2.75,2019-06-17,1.0
13.0,60.0,1.28,3.5,2010-09-27,1.0
34.0,44.0,2.25,1.57,2016-08-29,1.0
89.0,116.0,2.5,1.53,2022-08-22,0.0
20.0,137.0,1.12,6.0,2012-06-25,0.0
12.0,36.0,1.66,2.2,2018-07-23,1.0
53.0,64.0,1.61,2.2,2011-01-02,1.0
31.0,48.0,1.5,2.5,2018-08-06,0.0
87.0,109.0,1.83,1.83,2018-07-30,0.0
7.0,12.0,1.22,4.33,2012-08-27,0.0
21.0,68.0,1.4,2.75,2017-02-06,0.0
22.0,86.0,1.19,4.33,2007-08-19,0.0
17.0,98.0,1.14,5.5,2017-10-16,0.0
5.0,19.0,1.44,2.75,2021-04-19,0.0
26.0,84.0,1.5,2.62,2022-05-23,0.0
57.0,95.0,1.36,3.0,2014-01-06,1.0
59.0,85.0,1.4,2.75,2020-10-26,0.0
5.0,60.0,1.25,3.75,2011-05-01,0.0
2.0,3.0,1.12,6.0,2013-10-28,0.0
47.0,120.0,1.4,2.75,2010-08-22,0.0
10.0,143.0,1.2,4.33,2012-04-09,0.0
35.0,48.0,1.72,2.1,2022-02-07,1.0
100.0,116.0,1.8,1.9,2020-02-03,0.0
7.0,218.0,1.1,6.5,2011-06-06,0.0
37.0,41.0,1.61,2.2,2010-04-11,0.0
120.0,185.0,1.22,4.0,2017-07-17,1.0
66.0,95.0,2.3,1.61,2022-01-31,1.0
15.0,109.0,1.57,2.25,2015-06-08,0.0
3.0,109.0,1.01,26.0,2012-05-27,0.0
44.0,55.0,2.1,1.66,2007-02-19,0.0
28.0,77.0,3.0,1.36,2019-06-17,1.0
101.0,255.0,1.4,2.75,2010-02-08,1.0
5.0,38.0,1.4,2.75,2019-07-22,0.0
10.0,193.0,1.1,7.0,2016-09-26,0.0
11.0,32.0,1.2,4.33,2009-10-05,0.0
16.0,34.0,1.33,3.25,2016-09-19,0.0
10.0,117.0,1.12,6.0,2014-02-17,0.0
30.0,79.0,1.5,2.62,2020-09-28,0.0
28.0,35.0,1.9,1.8,2006-01-09,1.0
11.0,190.0,1.02,13.0,2008-02-11,0.0
108.0,168.0,1.72,2.0,2014-07-28,0.0
56.0,70.0,2.2,1.66,2018-05-28,1.0
2.0,78.0,1.01,21.0,2012-03-08,0.0
82.0,202.0,2.0,1.8,2017-08-28,0.0
49.0,69.0,1.5,2.5,2008-07-14,1.0
100.0,281.0,1.8,2.0,2021-07-19,0.0
57.0,224.0,1.53,2.37,2012-10-15,0.0
106.0,114.0,2.1,1.66,2010-03-24,1.0
5.0,20.0,1.22,4.33,2022-05-09,0.0
11.0,52.0,1.08,8.0,2014-10-13,0.0
1.0,33.0,1.05,11.0,2021-04-12,1.0
10.0,55.0,1.66,2.1,2012-10-29,0.0
65.0,67.0,1.9,1.8,2017-04-24,0.0
148.0,303.0,1.16,5.0,2014-02-03,0.0
37.0,40.0,1.44,2.62,2010-01-04,0.0
16.0,145.0,1.16,4.5,2009-07-13,0.0
27.0,54.0,1.53,2.37,2010-02-22,0.0
58.0,94.0,1.61,2.2,2009-11-02,0.0
20.0,37.0,1.44,2.62,2015-02-09,1.0
61.0,78.0,1.53,2.37,2020-11-02,0.0
3.0,16.0,1.25,4.0,2014-08-25,1.0
10.0,51.0,1.07,9.0,2017-05-08,0.0
26.0,223.0,2.0,1.8,2016-06-06,0.0
13.0,24.0,1.57,2.25,2016-03-07,0.0
13.0,65.0,1.12,6.0,2016-02-08,0.0
52.0,106.0,1.39,2.75,2008-01-28,1.0
8.0,40.0,1.57,2.25,2012-06-25,0.0
12.0,51.0,1.44,2.62,2019-02-04,0.0
52.0,77.0,1.36,3.0,2009-02-09,0.0
26.0,101.0,1.3,3.4,2018-07-16,0.0
26.0,39.0,1.18,4.5,2013-05-27,0.0
34.0,57.0,1.36,3.0,2019-10-21,0.0
5.0,155.0,1.08,8.0,2022-10-24,0.0
27.0,200.0,1.36,3.2,2021-02-08,0.0
114.0,128.0,1.22,4.0,2007-07-23,0.0
35.0,50.0,1.36,3.0,2010-08-01,0.0
39.0,60.0,1.04,13.0,2022-03-21,0.0
9.0,59.0,1.16,5.0,2022-05-09,0.0
25.0,160.0,1.22,4.0,2010-10-31,0.0
78.0,88.0,2.62,1.44,2016-08-22,0.0
41.0,87.0,1.33,3.25,2016-05-09,1.0
19.0,61.0,1.25,3.75,2011-06-12,0.0
15.0,33.0,2.0,1.8,2018-07-16,0.0
66.0,78.0,1.33,3.25,2015-05-24,0.0
40.0,79.0,2.3,1.61,2021-06-21,1.0
7.0,46.0,1.8,1.95,2020-10-19,0.0
93.0,246.0,1.66,2.1,2013-02-18,1.0
30.0,40.0,1.57,2.25,2010-08-15,0.0
1.0,21.0,1.16,4.5,2010-10-10,0.0
4.0,8.0,1.72,2.1,2017-11-13,1.0
83.0,107.0,1.72,2.0,2017-09-25,1.0
31.0,100.0,1.16,5.0,2017-04-10,0.0
11.0,25.0,1.4,2.75,2008-02-18,0.0
45.0,112.0,1.25,3.75,2011-01-03,1.0
41.0,58.0,1.53,2.37,2006-03-20,1.0
2.0,36.0,1.01,15.0,2011-06-20,0.0
26.0,73.0,2.5,1.53,2019-07-01,0.0
15.0,64.0,1.66,2.1,2013-10-14,0.0
6.0,7.0,1.66,2.2,2011-11-20,0.0
57.0,115.0,1.4,2.75,2013-10-14,0.0
62.0,263.0,1.83,1.83,2009-04-12,1.0
58.0,144.0,1.9,1.8,2011-02-21,1.0
45.0,72.0,1.72,2.0,2009-08-16,0.0
18.0,45.0,1.12,6.0,2019-02-04,0.0
21.0,46.0,1.66,2.1,2015-06-21,0.0
