scoring,fit_params,best_score,best_params,running_time
precision,False,0.579409042970254,"{'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 20, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 10, 'booster': 'gbtree'}",5772
"make_scorer(precision_score, pos_label=0)",True,0.731154254280429,"{'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 1, 'gamma': 0, 'booster': 'gblinear'}",7917
accuracy,False,0.673284744910782,"{'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.3, 'gamma': 10, 'booster': 'gbtree'}",9538
precision,False,0.607435952485367,"{'n_estimators': 100, 'max_depth': 1, 'learning_rate': 0.046415888336127774, 'booster': 'dart'}",1769
"make_scorer(precision_score, pos_label=0)",True,0.715523702680685,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 1.0, 'booster': 'gblinear'}",1674
accuracy,False,0.674114099019854,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.046415888336127774, 'booster': 'gbtree'}",1441
precision,False,0.598916215131906,"{'n_estimators': 100, 'max_depth': 1, 'learning_rate': 0.002154434690031882, 'booster': 'gblinear'}",5180
"make_scorer(precision_score, pos_label=0)",True,0.720907065475216,"{'n_estimators': 200, 'max_depth': 1, 'learning_rate': 0.046415888336127774, 'booster': 'gbtree'}",1467
accuracy,False,0.67303342548379,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.046415888336127774, 'booster': 'dart'}",3666
